"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 10:05:35 GMT 2023","Thu Apr 20 10:05:36 GMT 2023","1280","","test_con","TestConduit","","","test_accept",""
"passed","Thu Apr 20 10:06:00 GMT 2023","Thu Apr 20 10:06:01 GMT 2023","1104","","test_con","TestConduit","","","test_logout",""
"passed","Thu Apr 20 10:05:44 GMT 2023","Thu Apr 20 10:05:46 GMT 2023","1388","","test_con","TestConduit","","","test_article_title_list",""
"passed","Thu Apr 20 10:05:47 GMT 2023","Thu Apr 20 10:05:47 GMT 2023","368","","test_con","TestConduit","","","test_pages",""
"passed","Thu Apr 20 10:05:33 GMT 2023","Thu Apr 20 10:05:33 GMT 2023","77","","test_con","TestConduit","","","test_open",""
"passed","Thu Apr 20 10:05:38 GMT 2023","Thu Apr 20 10:05:41 GMT 2023","3293","","test_con","TestConduit","","","test_sign_up",""
"passed","Thu Apr 20 10:05:42 GMT 2023","Thu Apr 20 10:05:43 GMT 2023","950","","test_con","TestConduit","","","test_login",""
"passed","Thu Apr 20 10:05:52 GMT 2023","Thu Apr 20 10:05:55 GMT 2023","2898","","test_con","TestConduit","","","test_delete_article",""
"passed","Thu Apr 20 10:05:48 GMT 2023","Thu Apr 20 10:05:51 GMT 2023","2713","","test_con","TestConduit","","","test_new_article",""
"passed","Thu Apr 20 10:05:56 GMT 2023","Thu Apr 20 10:05:59 GMT 2023","2272","","test_con","TestConduit","","","test_save_data_to_file",""
